Date,Nifty50_USD,SP500,Gold,USBond
2025-01-02,281.96600333525936,5868.5498046875,245.4199981689453,88.51286315917969
2025-01-03,279.762595694199,5942.47021484375,243.49000549316406,88.36930847167969
2025-01-06,275.37692885542447,5975.3798828125,243.19000244140625,88.28318786621094
2025-01-07,276.7005846037979,5909.02978515625,244.55999755859375,87.88127136230469
2025-01-08,276.07405393341946,5918.25,245.86000061035156,88.03439331054688
2025-01-09,273.8585067159452,5918.25,245.86000061035156,88.03439331054688
2025-01-10,272.71299463864534,5827.0400390625,248.2100067138672,87.39327239990234
2025-01-13,267.8557139106408,5836.22021484375,245.74000549316406,87.24016571044922
2025-01-14,267.46556498909484,5842.91015625,247.02999877929688,87.26889038085938
2025-01-15,268.250902104393,5949.91015625,248.8800048828125,88.18749237060547
2025-01-16,269.715736796966,5937.33984375,250.60000610351562,88.39801788330078
2025-01-17,267.91644798304384,5996.66015625,249.27000427246094,88.46499633789062
2025-01-20,269.6663925211505,5996.66015625,249.27000427246094,88.46499633789062
2025-01-21,267.0729291271813,6049.240234375,253.1300048828125,88.76165008544922
2025-01-22,267.84085140939493,6086.3701171875,254.42999267578125,88.531982421875
2025-01-23,268.35462597548116,6118.7099609375,254.07000732421875,88.30232238769531
2025-01-24,267.1465244587547,6101.240234375,255.64999389648438,88.48413848876953
2025-01-27,264.8301058519489,6012.27978515625,252.99000549316406,89.05828094482422
2025-01-28,265.4987284695241,6067.7001953125,255.17999267578125,89.0678482055664
2025-01-29,267.51984739907255,6039.31005859375,254.1999969482422,88.96260070800781
2025-01-30,268.3441646676776,6071.169921875,258.04998779296875,89.15396118164062
2025-01-31,271.31233083114586,6040.52978515625,258.55999755859375,89.01042175292969
2025-02-03,269.90145516811833,5994.56982421875,259.94000244140625,89.07378387451172
2025-02-04,273.04258490704285,6037.8798828125,262.5,89.29458618164062
2025-02-05,271.9645880201564,6061.47998046875,264.1300048828125,89.81294250488281
2025-02-06,270.26499304843037,6083.56982421875,263.42999267578125,89.70733642578125
2025-02-07,268.9851100669717,6025.990234375,263.8999938964844,89.40977478027344
2025-02-10,267.17828185076576,6066.43994140625,268.3699951171875,89.39057159423828
2025-02-11,263.70756874513734,6068.5,267.3900146484375,89.16019439697266
2025-02-12,265.4640092848647,6051.97021484375,267.6700134277344,88.54581451416016
2025-02-13,265.1126947647656,6115.06982421875,270.30999755859375,89.20818328857422
2025-02-14,264.3016387341414,6114.6298828125,266.2900085449219,89.58256530761719
2025-02-17,265.62857674481666,6114.6298828125,266.2900085449219,89.58256530761719
2025-02-18,264.18000476448475,6129.580078125,270.70001220703125,89.10257720947266
2025-02-19,263.93876829381696,6144.14990234375,270.8500061035156,89.24658966064453
2025-02-20,263.755164670869,6117.52001953125,270.989990234375,89.42897033691406
2025-02-21,263.68517452317167,6013.1298828125,270.739990234375,89.95694732666016
2025-02-24,260.64376556991783,5983.25,272.2099914550781,90.14894104003906
2025-02-25,260.0937172638941,5955.25,268.6199951171875,90.85929870605469
2025-02-26,260.0937172638941,5956.06005859375,269.0299987792969,91.10888671875
2025-02-27,258.65628152210104,5861.56982421875,264.92999267578125,91.0032958984375
2025-02-28,253.35461354825324,5954.5,263.2699890136719,91.5024642944336
2025-03-03,252.8960665926907,5849.72021484375,266.739990234375,91.83460235595703
2025-03-04,252.86559230295117,5778.14990234375,269.05999755859375,91.54579162597656
2025-03-05,256.1117677351248,5842.6298828125,269.6199951171875,91.0355224609375
2025-03-06,259.464627649346,5738.52001953125,268.25,90.98741912841797
2025-03-07,258.84093600904924,5770.2001953125,268.3900146484375,90.87187957763672
2025-03-10,257.9455703645784,5614.56005859375,266.0400085449219,91.50728607177734
2025-03-11,257.545349232057,5572.06982421875,269.1600036621094,91.17994689941406
2025-03-12,257.6889135580129,5599.2998046875,270.3299865722656,90.91038513183594
2025-03-13,256.43514539382613,5521.52001953125,275.1300048828125,91.2762222290039
2025-03-14,256.43514539382613,5638.93994140625,275.239990234375,90.95851135253906
2025-03-17,258.90278500665494,5675.1201171875,276.7300109863281,91.0355224609375
2025-03-18,262.7156847788323,5614.66015625,279.9599914550781,91.14143371582031
2025-03-19,264.5949489513428,5675.2900390625,281.1099853515625,91.4206314086914
2025-03-20,268.60586180593504,5662.89013671875,280.75,91.55541229248047
2025-03-21,270.45929811523166,5667.56005859375,278.489990234375,91.4783935546875
2025-03-24,275.1386807740712,5767.56982421875,277.25,90.94889068603516
2025-03-25,276.7224382279937,5776.64990234375,278.4700012207031,91.10292053222656
2025-03-26,274.40985692835187,5712.2001953125,278.239990234375,90.89112854003906
2025-03-27,274.0210252894717,5693.31005859375,281.9700012207031,90.81414031982422
2025-03-28,274.454482923295,5580.93994140625,284.05999755859375,91.54579162597656
2025-03-31,274.454482923295,5611.85009765625,288.1400146484375,91.81535339355469
2025-04-01,271.04497247260093,5633.06982421875,287.57000732421875,92.13792419433594
2025-04-02,272.54202092898845,5670.97021484375,288.1600036621094,92.05101013183594
2025-04-03,271.45095209769335,5396.52001953125,286.4200134277344,92.99750518798828
2025-04-04,268.57024995079706,5074.080078125,279.7200012207031,93.25826263427734
2025-04-07,259.1112100659953,5062.25,273.7099914550781,92.14759826660156
2025-04-08,261.9625175520771,4982.77001953125,275.20001220703125,91.68401336669922
2025-04-09,259.14354068337104,5456.89990234375,285.3800048828125,91.39424896240234
2025-04-10,259.14354068337104,5268.0498046875,292.3500061035156,90.82441711425781
2025-04-11,264.6469420694951,5363.35986328125,297.92999267578125,90.31256103515625
2025-04-14,264.6469420694951,5405.97021484375,296.2300109863281,91.03691864013672
2025-04-15,271.12098388517745,5396.6298828125,297.7799987792969,91.30733489990234
2025-04-16,273.3943948089997,5275.7001953125,307.4700012207031,91.70330810546875
2025-04-17,278.57406537788097,5282.7001953125,306.1199951171875,91.44255828857422
2025-04-21,278.57406537788097,5158.2001953125,315.5899963378906,90.94998931884766
2025-04-22,283.7900764087126,5287.759765625,311.1099853515625,91.01760864257812
2025-04-23,285.4425020057591,5375.85986328125,303.6499938964844,91.1141586303711
2025-04-24,283.58745433400526,5484.77001953125,308.07000732421875,91.60673522949219
2025-04-25,281.962356703829,5525.2099609375,304.7300109863281,91.95442962646484
2025-04-28,284.927418762515,5528.75,309.07000732421875,92.3214340209961
2025-04-29,285.76635912981135,5560.830078125,306.05999755859375,92.64014434814453
2025-04-30,285.7105889753104,5569.06005859375,303.7699890136719,92.7850341796875
2025-05-01,285.7105889753104,5604.14013671875,297.4599914550781,92.3809585571289
2025-05-02,287.4574678467497,5686.669921875,297.9800109863281,91.76082611083984
2025-05-05,289.39100396054494,5650.3798828125,306.8800048828125,91.59610748291016
2025-05-06,289.4724217951481,5606.91015625,315.4800109863281,91.82865905761719
2025-05-07,287.9287616517309,5631.27978515625,310.75,92.07089233398438
2025-05-08,286.18960381968054,5663.93994140625,304.6300048828125,91.3538589477539
2025-05-09,278.8962207277767,5659.91015625,306.8399963378906,91.42169189453125
2025-05-12,291.82993392282395,5844.18994140625,298.19000244140625,90.84031677246094
2025-05-13,289.27379069276293,5886.5498046875,299.4599914550781,90.77249908447266
2025-05-14,289.9930942834099,5892.580078125,293.1600036621094,90.433349609375
2025-05-15,293.16648209183893,5916.93017578125,297.8399963378906,91.0244140625
2025-05-16,292.8179520500768,5958.3798828125,294.239990234375,91.05349731445312
2025-05-19,291.75862464357243,5963.60009765625,298.0299987792969,91.00504302978516
2025-05-20,289.1331026251192,5940.4599609375,303.5799865722656,90.88875579833984
2025-05-21,290.093288716794,5844.60986328125,305.82000732421875,90.25894165039062
2025-05-22,287.495466364249,5842.009765625,303.1099853515625,90.59806823730469
2025-05-23,289.0744926169382,5802.81982421875,309.75,90.85968017578125
2025-05-26,293.44313399466637,5802.81982421875,309.75,90.85968017578125
2025-05-27,291.5303318731222,5921.5400390625,304.5,91.23758697509766
2025-05-28,289.97545969828855,5888.5498046875,303.80999755859375,90.98566436767578
2025-05-29,290.8395755033127,5912.169921875,305.6099853515625,91.3635482788086
2025-05-30,289.95223728414845,5911.68994140625,303.6000061035156,91.6348648071289
2025-06-02,289.00090054800955,5935.93994140625,311.6700134277344,91.32377624511719
2025-06-03,287.50510756702846,5970.3701171875,308.9100036621094,91.23628234863281
2025-06-04,287.2540375559105,5970.81005859375,310.8999938964844,91.90706634521484
2025-06-05,288.12212971379626,5939.2998046875,309.3299865722656,91.63487243652344
2025-06-06,291.1478567778499,6000.35986328125,305.17999267578125,90.90576171875
2025-06-09,292.6282109535078,6005.8798828125,306.6199951171875,91.07102966308594
2025-06-10,292.7404608988622,6038.81005859375,306.7099914550781,91.22655487060547
2025-06-11,293.5268893290307,6022.240234375,308.3699951171875,91.60569763183594
2025-06-12,291.1928937118541,6045.259765625,312.20001220703125,92.00428771972656
2025-06-13,288.4707793809293,5976.97021484375,316.2900085449219,91.66402435302734
2025-06-16,289.237469034322,6033.10986328125,311.7799987792969,91.40154266357422
2025-06-17,288.6432919097808,5982.72021484375,311.94000244140625,91.84873962402344
2025-06-18,287.3005403308135,5980.8701171875,310.260009765625,91.90706634521484
2025-06-19,286.2512298044381,5980.8701171875,310.260009765625,91.90706634521484
2025-06-20,290.0357806242682,5967.83984375,310.1300048828125,91.96539306640625
2025-06-23,288.42474061866614,6025.169921875,311.0799865722656,92.28620910644531
2025-06-24,290.426508564478,6092.18017578125,306.19000244140625,92.60700988769531
2025-06-25,293.8689092813548,6092.16015625,307.1199951171875,92.64590454101562
2025-06-26,297.0603126481417,6141.02001953125,306.7799987792969,92.97642517089844
2025-06-27,299.2748808252169,6173.06982421875,301.2200012207031,92.73339080810547
2025-06-30,298.6011513287849,6204.9501953125,304.8299865722656,93.1028060913086
2025-07-01,297.9886798985821,6198.009765625,307.54998779296875,92.93019104003906
2025-07-02,297.2042083590452,6227.419921875,309.25,92.73513793945312
