Date,regime,prob_Inflationary,prob_Growth,prob_Risk-Off,prob_Stagflation
2016-01-31,Stagflation,0.0042,0.0000,0.0000,0.9958
2016-02-29,Stagflation,0.0182,0.0000,0.0000,0.9818
2016-03-31,Stagflation,0.0350,0.0000,0.0000,0.9650
2016-04-30,Inflationary,0.9502,0.0000,0.0000,0.0498
2016-05-31,Inflationary,0.9826,0.0000,0.0000,0.0174
2016-06-30,Inflationary,0.9876,0.0000,0.0000,0.0124
2016-07-31,Inflationary,0.9952,0.0000,0.0000,0.0048
2016-08-31,Inflationary,0.9984,0.0000,0.0000,0.0016
2016-09-30,Inflationary,0.9985,0.0000,0.0000,0.0015
2016-10-31,Inflationary,0.9998,0.0000,0.0000,0.0002
2016-11-30,Inflationary,0.9996,0.0000,0.0000,0.0004
2016-12-31,Inflationary,0.9993,0.0000,0.0000,0.0007
2017-01-31,Inflationary,0.9990,0.0001,0.0000,0.0008
2017-02-28,Inflationary,0.9994,0.0000,0.0000,0.0006
2017-03-31,Inflationary,0.9998,0.0000,0.0000,0.0002
2017-04-30,Inflationary,0.9998,0.0000,0.0000,0.0001
2017-05-31,Inflationary,0.9997,0.0002,0.0000,0.0001
2017-06-30,Inflationary,0.9997,0.0002,0.0000,0.0001
2017-07-31,Inflationary,0.9998,0.0001,0.0000,0.0001
2017-08-31,Inflationary,0.9998,0.0002,0.0000,0.0000
2017-09-30,Inflationary,0.9998,0.0002,0.0000,0.0000
2017-10-31,Inflationary,0.9999,0.0001,0.0000,0.0000
2017-11-30,Inflationary,0.9999,0.0001,0.0000,0.0000
2017-12-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-01-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-02-28,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-03-31,Inflationary,0.9999,0.0001,0.0000,0.0000
2018-04-30,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-05-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-06-30,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-07-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-08-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-09-30,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-10-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-11-30,Inflationary,1.0000,0.0000,0.0000,0.0000
2018-12-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2019-01-31,Inflationary,0.9999,0.0000,0.0001,0.0000
2019-02-28,Inflationary,0.9989,0.0000,0.0011,0.0000
2019-03-31,Inflationary,0.9373,0.0000,0.0627,0.0000
2019-04-30,Inflationary,0.9511,0.0000,0.0489,0.0000
2019-05-31,Inflationary,0.9932,0.0000,0.0068,0.0000
2019-06-30,Inflationary,0.9941,0.0000,0.0059,0.0000
2019-07-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2019-08-31,Inflationary,0.9998,0.0001,0.0001,0.0000
2019-09-30,Inflationary,0.9998,0.0000,0.0002,0.0000
2019-10-31,Inflationary,0.9992,0.0001,0.0007,0.0000
2019-11-30,Inflationary,0.9993,0.0000,0.0007,0.0000
2019-12-31,Inflationary,0.9969,0.0000,0.0031,0.0000
2020-01-31,Inflationary,0.9998,0.0001,0.0001,0.0000
2020-02-29,Inflationary,0.9774,0.0225,0.0001,0.0000
2020-03-31,Growth,0.0000,1.0000,0.0000,0.0000
2020-04-30,Growth,0.0000,1.0000,0.0000,0.0000
2020-05-31,Growth,0.0000,1.0000,0.0000,0.0000
2020-06-30,Growth,0.0000,1.0000,0.0000,0.0000
2020-07-31,Growth,0.0000,1.0000,0.0000,0.0000
2020-08-31,Growth,0.0000,1.0000,0.0000,0.0000
2020-09-30,Growth,0.0000,1.0000,0.0000,0.0000
2020-10-31,Growth,0.0000,1.0000,0.0000,0.0000
2020-11-30,Growth,0.0000,1.0000,0.0000,0.0000
2020-12-31,Growth,0.0000,1.0000,0.0000,0.0000
2021-01-31,Growth,0.0000,1.0000,0.0000,0.0000
2021-02-28,Growth,0.0000,1.0000,0.0000,0.0000
2021-03-31,Growth,0.0000,1.0000,0.0000,0.0000
2021-04-30,Growth,0.0000,1.0000,0.0000,0.0000
2021-05-31,Growth,0.0000,1.0000,0.0000,0.0000
2021-06-30,Growth,0.0000,1.0000,0.0000,0.0000
2021-07-31,Growth,0.0000,1.0000,0.0000,0.0000
2021-08-31,Growth,0.0002,0.9998,0.0000,0.0000
