Date,Nifty50,SP500,Gold,USBond,USDINR,US10Y,VIX
2007-09-17,4494.64990234375,1476.6500244140625,70.97000122070312,51.44818115234375,40.37699890136719,4.46999979019165,26.479999542236328
2007-09-18,4546.2001953125,1519.780029296875,71.69999694824219,51.060935974121094,40.21699905395508,4.480000019073486,20.350000381469727
2007-09-19,4732.35009765625,1529.030029296875,71.43000030517578,50.588226318359375,40.03300094604492,4.52400016784668,20.030000686645508
2007-09-20,4747.5498046875,1518.75,72.72000122070312,49.63150405883789,39.6150016784668,4.671999931335449,20.450000762939453
2007-09-21,4837.5498046875,1525.75,72.33999633789062,50.05293655395508,39.77000045776367,4.631999969482422,19.0
2007-09-24,4932.2001953125,1517.72998046875,72.27999877929688,50.1953239440918,39.430999755859375,4.624000072479248,19.3700008392334
2007-09-25,4938.85009765625,1517.2099609375,72.33000183105469,50.01875305175781,39.65999984741211,4.613999843597412,18.600000381469727
2007-09-26,4940.5,1525.4200439453125,72.0,50.064300537109375,39.632999420166016,4.619999885559082,17.6299991607666
2007-09-27,5000.5498046875,1531.3800048828125,72.69999694824219,50.41170883178711,39.65299987792969,4.572999954223633,17.0
2007-09-28,5021.35009765625,1526.75,73.51000213623047,50.52560043334961,39.57500076293945,4.578999996185303,18.0
2007-10-01,5068.9501953125,1547.0400390625,73.9000015258789,50.81431579589844,39.667999267578125,4.557000160217285,17.84000015258789
2007-10-02,5068.9501953125,1546.6300048828125,72.3499984741211,50.97438430786133,39.573001861572266,4.5289998054504395,18.489999771118164
2007-10-03,5210.7998046875,1539.5899658203125,71.9000015258789,50.82575607299805,39.31999969482422,4.543000221252441,18.799999237060547
2007-10-04,5208.64990234375,1542.8399658203125,72.87000274658203,51.02015686035156,39.215999603271484,4.5229997634887695,18.440000534057617
2007-10-05,5185.85009765625,1557.5899658203125,73.4000015258789,50.471290588378906,39.404998779296875,4.639999866485596,16.90999984741211
2007-10-08,5085.10009765625,1552.5799560546875,72.52999877929688,50.4312744140625,39.35200119018555,4.638000011444092,17.459999084472656
2007-10-09,5327.25,1565.1500244140625,73.08999633789062,50.368377685546875,39.154998779296875,4.651000022888184,16.1200008392334
2007-10-10,5441.4501953125,1562.469970703125,73.36000061035156,50.39698791503906,39.17499923706055,4.646999835968018,16.670000076293945
2007-10-11,5524.85009765625,1554.4100341796875,73.91000366210938,50.34549331665039,39.236000061035156,4.658999919891357,18.8799991607666
2007-10-12,5428.25,1561.800048828125,74.58999633789062,50.09966278076172,39.095001220703125,4.686999797821045,17.729999542236328
2007-10-15,5670.39990234375,1548.7099609375,75.13999938964844,50.111122131347656,39.236000061035156,4.672999858856201,19.25
2007-10-16,5668.0498046875,1538.530029296875,75.12000274658203,50.12825012207031,39.154998779296875,4.65500020980835,20.020000457763672
2007-10-17,5559.2998046875,1541.239990234375,74.5,50.67715072631836,39.47100067138672,4.546000003814697,18.540000915527344
