Date,CPI,PMI,Repo_Rate,M2,India_VIX
2010-06-30,13.725485,101.090800,6.000000,57106100000000.000000,20.070000
2010-07-31,11.250001,101.251000,6.000000,58424100000000.000000,18.940001
2010-08-31,9.876531,101.391600,6.000000,58544800000000.000000,18.469999
2010-09-30,9.815939,101.508300,6.000000,58992900000000.000000,22.250000
2010-10-31,9.696974,101.597300,6.000000,60805000000000.000000,20.760000
2010-11-30,8.333341,101.655400,6.000000,60906000000000.000000,20.709999
2010-12-31,9.467460,101.680700,6.000000,62252100000000.000000,16.559999
2011-01-31,9.302314,101.672200,6.000000,62560100000000.000000,23.410000
2011-02-28,8.823536,101.630400,6.000000,63667400000000.000000,24.400000
2011-03-31,8.823536,101.557100,6.000000,65041200000000.000000,22.180000
2011-04-30,9.411769,101.455900,6.000000,66494000000000.000000,19.580000
2011-05-31,8.720920,101.331400,6.000000,66715000000000.000000,16.820000
2011-06-30,8.620695,101.189900,6.000000,66974399999999.992188,18.410000
2011-07-31,8.426972,101.038500,6.000000,68158700000000.000000,19.770000
2011-08-31,8.988768,100.884500,6.000000,68529700000000.000000,24.879999
2011-09-30,10.055867,100.734000,6.000000,68796100000000.007812,31.940001
2011-10-31,9.392267,100.590500,6.000000,69849700000000.000000,22.660000
2011-11-30,9.340661,100.455900,6.000000,70340800000000.000000,26.549999
2011-12-31,6.486482,100.331000,6.000000,72172000000000.000000,27.110001
2012-01-31,5.319162,100.215800,6.000000,71773300000000.000000,22.660000
2012-02-29,7.567574,100.110200,7.750000,72539800000000.000000,26.930000
2012-03-31,8.648652,100.013700,9.500000,73592000000000.000000,22.379999
2012-04-30,10.215053,99.925920,9.250000,75253900000000.000000,17.820000
2012-05-31,10.160427,99.846370,9.000000,75653800000000.000000,25.250000
2012-06-30,10.052909,99.774170,9.000000,77448500000000.000000,19.080000
2012-07-31,9.844559,99.707950,9.000000,77494700000000.000000,16.010000
2012-08-31,10.309276,99.646290,9.000000,78030300000000.000000,17.299999
2012-09-30,9.137057,99.588120,9.000000,77993800000000.000000,16.160000
2012-10-31,9.595958,99.533140,9.000000,79003100000000.000000,14.400000
2012-11-30,9.547737,99.481510,9.000000,79791600000000.000000,15.150000
2012-12-31,11.167521,99.433560,9.000000,80319200000000.000000,14.950000
2013-01-31,11.616154,99.389530,9.000000,81156250000000.000000,14.130000
2013-02-28,12.060293,99.349660,8.750000,81727670000000.000000,14.860000
2013-03-31,11.442779,99.314300,8.650000,83820230000000.000000,15.220000
