Regime,GMM_Count,KMeans_Count,Intersection_Count,GMM_Share,KMeans_Share,Adjusted_Rand_Index,Label_Agreement
Growth,133,38,0,0.525691699604743,0.15019762845849802,0.5996732137898976,0.06719367588932806
Inflationary,38,45,0,0.15019762845849802,0.17786561264822134,0.5996732137898976,0.06719367588932806
Risk-Off,12,75,11,0.04743083003952569,0.2964426877470356,0.5996732137898976,0.06719367588932806
Stagflation,70,95,6,0.2766798418972332,0.37549407114624506,0.5996732137898976,0.06719367588932806
__overall__,253,253,17,1.0,1.0,0.5996732137898976,0.06719367588932806
