Date,EqualWeight,ClassicalMarkowitz,MLMarkowitz,MLRegimeAware,regime
2010-02-28,0.017607686343127926,0.016245311959946118,0.022483088949898495,0.022483088949898495,Growth
2010-03-31,0.03160319424433289,0.0033527790132796675,0.028084650526070808,0.028084650526070808,Growth
2010-04-30,0.03120362672616367,0.04185489429004616,0.03697586073127486,0.03697586073127486,Growth
2010-05-31,-0.020130147172045837,0.018236709118174217,-0.005938718441185178,-0.005938718441185178,Growth
2010-06-30,0.017794211697871654,0.03540305544834771,-0.008572857320995615,-0.008572857320995615,Growth
2010-07-31,0.004921616870616374,-0.022138208629922627,-0.014866650462110066,-0.014866650462110066,Growth
2010-08-31,0.022247244445042946,0.0561532355742817,-0.016343065469464294,-0.016343065469464294,Growth
2010-09-30,0.07019662480446948,0.031478551759886765,0.023060430087609343,0.023060430087609343,Growth
2010-10-31,0.008254955427291238,0.0022322868634215218,0.031121628198592675,0.031121628198592675,Growth
2010-11-30,-0.013295348169832327,-0.004660975521631445,-0.004509643298561652,-0.004509643298561652,Growth
2010-12-31,0.030538875546467947,0.010467510591216124,0.025763032048577106,0.025763032048577106,Growth
2011-01-31,-0.04864050594151756,-0.05734917263246374,-0.03740618763310468,-0.03740618763310468,Growth
2011-02-28,0.022417783472454267,0.032493124852853064,0.03260469859490441,0.03260469859490441,Inflationary
2011-03-31,0.031191449831645596,0.018957978949537692,0.012448299138269924,0.012448299138269924,Inflationary
2011-04-30,0.033446935376369474,0.04911679050462009,0.05386615886255949,0.05386615886255949,Inflationary
2011-05-31,-0.01591501887590796,-0.0046237586965661385,-0.001363592124046107,-0.001363592124046107,Inflationary
2011-06-30,-0.006111406458141455,-0.016156482381619965,-0.018255284730823298,-0.018255284730823298,Inflationary
2011-07-31,0.02352591302810278,0.05162789148804726,0.02978656721320519,0.02978656721320519,Inflationary
2011-08-31,0.009570686531945066,0.07419492231174418,0.03720010695928435,0.03720010695928435,Inflationary
2011-09-30,-0.03069136778954909,-0.009920151949784572,0.002436702586766093,0.002436702586766093,Inflationary
2011-10-31,0.052708451624712216,0.0217357263387165,0.018709532144993123,0.018709532144993123,Inflationary
2011-11-30,-0.029645240395372197,-0.015361583646035376,0.008696248015508815,0.008696248015508815,Inflationary
2011-12-31,-0.03161122432105065,-0.042003098885545466,-0.035192351332636096,-0.035192351332636096,Inflationary
2012-01-31,0.07235761738343424,0.06379368704906657,0.045803532703379654,0.045803532703379654,Inflationary
2012-02-29,0.02325792841878979,-0.012722466038998497,-0.017596429626075424,-0.017596429626075424,Inflationary
2012-03-31,-0.021090971729196023,-0.027621542103526874,-0.015736597671980546,-0.015736597671980546,Inflationary
2012-04-30,0.0019444785021979494,0.014282815379607502,0.0167269923987955,0.0167269923987955,Inflationary
2012-05-31,-0.039767712786856285,-0.00384281192024382,0.003087232799820025,0.003087232799820025,Inflationary
2012-06-30,0.026895395572641256,0.009294868336538902,0.0231714167299002,0.0231714167299002,Inflationary
2012-07-31,0.018567395129895137,0.021514031773030046,0.019435359841026838,0.019435359841026838,Inflationary
2012-08-31,0.014476466122038678,0.017889564061729847,0.010918407331585262,0.010918407331585262,Inflationary
2012-09-30,0.04595199171765796,0.023711905408153856,0.011741434835352926,0.011741434835352926,Inflationary
2012-10-31,-0.021518221375304847,-0.01987702361141234,-0.025160034922795418,-0.025160034922795418,Inflationary
2012-11-30,0.009816370144896974,0.0058463215740118275,0.007510990986579771,0.007510990986579771,Inflationary
2012-12-31,-0.00905625431554355,-0.019123197295698877,-0.00741570708925232,-0.00741570708925232,Inflationary
2013-01-31,0.01581727855896739,-0.006100304878917206,0.015713986031887457,0.015713986031887457,Inflationary
2013-02-28,-0.023441021605296264,-0.027004724379939483,-0.007132268869211738,-0.007132268869211738,Inflationary
2013-03-31,0.0074248930333691565,0.0031051374077158134,0.0006473661570573683,0.0006473661570573683,Inflationary
2013-04-30,0.008992703504916127,-0.009723377975839206,0.023002189779029292,0.023002189779029292,Inflationary
2013-05-31,-0.034481794391784365,-0.05628545911180787,-0.011306843088503642,-0.011306843088503642,Inflationary
2013-06-30,-0.061024110513008545,-0.07351125203825519,-0.04067752944528745,-0.04067752944528745,Inflationary
2013-07-31,0.018502838741162736,0.020889407809289516,0.014207106696942005,0.014207106696942005,Inflationary
2013-08-31,-0.03319652527112715,0.0015272519570935254,0.0016604465796454056,0.0016604465796454056,Inflationary
2013-09-30,0.027806919144586967,-0.009896523720202341,-0.010966620314936497,-0.010966620314936497,Inflationary
2013-10-31,0.04556461538664705,0.01988871817628353,0.025578171548101797,0.025578171548101797,Inflationary
2013-11-30,-0.02270003209503646,-0.03301681632911182,-0.01279583955427934,-0.01279583955427934,Inflationary
2013-12-31,-0.00047793731747849955,-0.012447502566027089,0.0018510006372255573,0.0018510006372255573,Inflationary
2014-01-31,0.004847570647605021,0.020801264865356113,-0.030160642948850683,-0.030160642948850683,Inflationary
2014-02-28,0.03666582283754605,0.03374491771154211,0.02407918780197407,0.02407918780197407,Stagflation
2014-03-31,0.022452413371877644,0.0033733630185500112,-0.005305217503764564,-0.005305217503764564,Stagflation
2014-04-30,0.005342010285791177,0.009104865667132986,3.29078463707905e-05,3.29078463707905e-05,Stagflation
2014-05-31,0.0318797445696381,0.018329665032081048,0.018537727910083263,0.018537727910083263,Stagflation
2014-06-30,0.02813339246853558,0.026448293457300053,0.01614197403521959,0.01614197403521959,Stagflation
2014-07-31,-0.008469780414396527,-0.009549021832797659,0.005312878453208315,0.005312878453208315,Stagflation
2014-08-31,0.02887774353133249,0.028322080278017563,0.03539419163153984,0.03539419163153984,Stagflation
2014-09-30,-0.02876573066874208,-0.03594346148898482,-0.018623439089452628,-0.018623439089452628,Stagflation
2014-10-31,0.016938193528180157,0.009412282101779964,0.03143363663301775,0.03143363663301775,Stagflation
2014-11-30,0.01857164368387787,0.017219896249840935,0.02556830739602329,0.02556830739602329,Stagflation
2014-12-31,-0.004336508479150958,0.008797688881816325,-0.024011718829213075,-0.024011718829213075,Stagflation
2015-01-31,0.0611929661822036,0.08603561144296046,0.08780402785561733,0.08780402785561733,Stagflation
2015-02-28,-0.0152018501808521,-0.04109914995949697,-0.05121453528358953,-0.05121453528358953,Stagflation
2015-03-31,-0.01989258520529924,-0.0149549225600159,-0.021887016949879087,-0.021887016949879087,Stagflation
2015-04-30,-0.019505803799758414,-0.017336652076660852,-0.020741005371844708,-0.020741005371844708,Stagflation
2015-05-31,0.004238184560125757,-0.0007722292746445043,0.0073537621821273096,0.0073537621821273096,Stagflation
2015-06-30,-0.02076155108680966,-0.021118535525144776,-0.015539573277284655,-0.015539573277284655,Stagflation
2015-07-31,0.003091445019404976,-0.010441855572308374,0.006419874810464465,0.006419874810464465,Stagflation
2015-08-31,-0.031703715398898935,-0.025036409778925923,-0.06913715291678477,-0.06913715291678477,Stagflation
2015-09-30,-0.006055331321138974,-0.008881136565170917,-0.009198354294105919,-0.009198354294105919,Stagflation
2015-10-31,0.030953758801511078,0.028962176579215113,0.04821869989222072,0.04821869989222072,Stagflation
2015-11-30,-0.028322374268273193,-0.03355308026437507,-0.032470723733371364,-0.032470723733371364,Stagflation
2015-12-31,-0.0042278813816308825,-0.006803550861614294,-0.006751619160431518,-0.006751619160431518,Stagflation
2016-01-31,-0.002991053630427787,0.009681758217267505,-0.00673373982952874,-0.00673373982952874,Stagflation
2016-02-29,0.012813147217532322,0.03630261597994799,0.012370984537301065,0.012370984537301065,Inflationary
2016-03-31,0.05089500488154525,0.026596875689762205,0.03320389189098568,0.03320389189098568,Inflationary
2016-04-30,0.014937306281432805,0.01721841737389647,0.024502260140769838,0.024502260140769838,Inflationary
2016-05-31,-0.0023090534775916105,-0.013446624998829964,0.017171528882192682,0.017171528882192682,Inflationary
2016-06-30,0.04283188102620539,0.05298122905268392,0.0134826401688322,0.0134826401688322,Inflationary
2016-07-31,0.03129126117628689,0.02803282975453228,0.03367032045068084,0.03367032045068084,Inflationary
2016-08-31,-0.007157751022273645,-0.013475051859279642,0.0006290064269162433,0.0006290064269162433,Inflationary
2016-09-30,-0.006199600091373603,-0.004544700781908868,-0.012721917388068191,-0.012721917388068191,Inflationary
2016-10-31,-0.02271574982198138,-0.023582904731803748,-0.018042085820835614,-0.018042085820835614,Inflationary
2016-11-30,-0.05076507487566084,-0.06507548360922043,-0.02509586278964397,-0.02509586278964397,Inflationary
2016-12-31,-9.778062874887805e-05,-0.0008551579337808259,-0.0003992043486793864,-0.0003992043486793864,Inflationary
2017-01-31,0.031954479460945207,0.03641534402262802,0.035221502230658425,0.035221502230658425,Inflationary
2017-02-28,0.03490242346336325,0.037281611452612426,0.02819818511555338,0.02819818511555338,Inflationary
2017-03-31,0.013064238378118098,0.010117658769115674,0.02784696902175269,0.02784696902175269,Inflationary
2017-04-30,0.016963024624712164,0.01659407314424955,0.017333499471301653,0.017333499471301653,Inflationary
2017-05-31,0.013591559025426164,0.010248905888729143,0.015465680220286966,0.015465680220286966,Inflationary
2017-06-30,-0.005448904842213442,-0.009836247709070269,-0.00435358552183962,-0.00435358552183962,Inflationary
