,Nifty50_USD,SP500,Gold,USBond
Nifty50_USD,0.00022473858582255324,4.82963516972293e-05,1.57068060097903e-05,-1.3208858666287446e-05
SP500,4.82963516972293e-05,0.00014413661579230913,8.69433027167483e-06,-3.2070341441985386e-05
Gold,1.57068060097903e-05,8.69433027167483e-06,0.00012061830146719421,1.3693095536067595e-05
USBond,-1.3208858666287446e-05,-3.2070341441985386e-05,1.3693095536067595e-05,6.0660052527130756e-05
