Strategy,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Num_Months
RegimeAware_ML,0.2139532412049725,0.18079119961321344,0.055176232382677604,3.276613712210844,3.16888071886937,-0.029499628401806977,14
EqualWeight,0.27800668338755297,0.2339970092590109,0.04985360663782537,4.693682664906146,36.278100155933636,-0.011187490141011391,14
ClassicalMarkowitz,0.5624497188157138,0.4659510591744762,0.08470893087476733,5.500613150971445,2602.878776497552,-0.004407876266256383,14
