,Nifty50_USD,SP500,Gold,USBond
Nifty50_USD,1.0,0.26834180891997256,0.09539869938799657,-0.11312929492545072
SP500,0.26834180891997256,1.0,0.06593900188842008,-0.342977027603746
Gold,0.09539869938799657,0.06593900188842008,1.0,0.1600824207192274
USBond,-0.11312929492545072,-0.342977027603746,0.1600824207192274,1.0
