Asset,WalkForward_RMSE,WalkForward_MAE,WalkForward_R2,WalkForward_Dir_Accuracy,Most_Frequent_Selected_Model
Gold,0.04542189064463895,0.03684708733584298,-0.3630463875466581,0.8571428571428571,RandomForest
Nifty50_USD,0.0418410927385198,0.03562756296608335,-0.08590552924614991,0.35714285714285715,RandomForest
SP500,0.048152070705596954,0.03399499812874611,-1.868853823087465,0.35714285714285715,LinearRegression
USBond,0.013983098505811455,0.011082303883856793,-0.535692385785459,0.6428571428571429,RandomForest
